requirement_id,model_id,assumption_id,formula_id,parameter_id,task_id,acceptance_id,code_ref,config_ref,test_ref,evidence_ref,status
REQ-MOD-001,MOD-001,ASM-001,FORM-001,PARAM-001,TASK-T1206,ACC-A171,EEI/data/parameter_catalog.csv:2; EEI/scripts/validate_governance.py:108-121,EEI/config/model_profiles/balanced-v2.json; EEI/config/model_runtime_defaults.yaml,EEI/scripts/validate_model_config.py; EEI/scripts/validate_governance.py,EEI/data/acceptance_traceability.csv:211; EEI/scripts/validate_model_config.py; EEI/scripts/validate_task_pack.py,active
REQ-MOD-001,MOD-001,ASM-001,FORM-001,PARAM-002,TASK-T1206,ACC-A171,EEI/data/parameter_catalog.csv:3; EEI/scripts/validate_governance.py:108-121,EEI/config/model_profiles/balanced-v2.json; EEI/config/model_runtime_defaults.yaml,EEI/scripts/validate_model_config.py; EEI/scripts/validate_governance.py,EEI/data/acceptance_traceability.csv:211; EEI/scripts/validate_model_config.py; EEI/scripts/validate_task_pack.py,active
REQ-MOD-001,MOD-001,ASM-001,FORM-001,PARAM-003,TASK-T1206,ACC-A171,EEI/data/parameter_catalog.csv:4; EEI/scripts/validate_governance.py:108-121,EEI/config/model_profiles/balanced-v2.json; EEI/config/model_runtime_defaults.yaml,EEI/scripts/validate_model_config.py; EEI/scripts/validate_governance.py,EEI/data/acceptance_traceability.csv:211; EEI/scripts/validate_model_config.py; EEI/scripts/validate_task_pack.py,active
REQ-MOD-001,MOD-001,ASM-001,FORM-001,PARAM-004,TASK-T1206,ACC-A171,EEI/data/parameter_catalog.csv:5; EEI/scripts/validate_governance.py:108-121,EEI/config/model_profiles/balanced-v2.json; EEI/config/model_runtime_defaults.yaml,EEI/scripts/validate_model_config.py; EEI/scripts/validate_governance.py,EEI/data/acceptance_traceability.csv:211; EEI/scripts/validate_model_config.py; EEI/scripts/validate_task_pack.py,active
REQ-MOD-001,MOD-001,ASM-001,FORM-001,PARAM-005,TASK-T1206,ACC-A171,EEI/data/parameter_catalog.csv:6; EEI/scripts/validate_governance.py:108-121,EEI/config/model_profiles/balanced-v2.json; EEI/config/model_runtime_defaults.yaml,EEI/scripts/validate_model_config.py; EEI/scripts/validate_governance.py,EEI/data/acceptance_traceability.csv:211; EEI/scripts/validate_model_config.py; EEI/scripts/validate_task_pack.py,active
REQ-MOD-001,MOD-001,ASM-001,FORM-001,PARAM-006,TASK-T1206,ACC-A171,EEI/data/parameter_catalog.csv:7; EEI/scripts/validate_governance.py:108-121,EEI/config/model_profiles/balanced-v2.json; EEI/config/model_runtime_defaults.yaml,EEI/scripts/validate_model_config.py; EEI/scripts/validate_governance.py,EEI/data/acceptance_traceability.csv:211; EEI/scripts/validate_model_config.py; EEI/scripts/validate_task_pack.py,active
REQ-MOD-001,MOD-001,ASM-001,FORM-001,PARAM-007,TASK-T1206,ACC-A171,EEI/data/parameter_catalog.csv:8; EEI/scripts/validate_governance.py:108-121,EEI/config/model_profiles/balanced-v2.json; EEI/config/model_runtime_defaults.yaml,EEI/scripts/validate_model_config.py; EEI/scripts/validate_governance.py,EEI/data/acceptance_traceability.csv:211; EEI/scripts/validate_model_config.py; EEI/scripts/validate_task_pack.py,active
REQ-MOD-001,MOD-001,ASM-001,FORM-001,PARAM-008,TASK-T1206,ACC-A171,EEI/data/parameter_catalog.csv:9; EEI/scripts/validate_governance.py:108-121,EEI/config/model_profiles/balanced-v2.json; EEI/config/model_runtime_defaults.yaml,EEI/scripts/validate_model_config.py; EEI/scripts/validate_governance.py,EEI/data/acceptance_traceability.csv:211; EEI/scripts/validate_model_config.py; EEI/scripts/validate_task_pack.py,active
REQ-MOD-001,MOD-001,ASM-001,FORM-001,PARAM-009,TASK-T1206,ACC-A171,EEI/data/parameter_catalog.csv:10; EEI/scripts/validate_governance.py:108-121,EEI/config/model_profiles/balanced-v2.json; EEI/config/model_runtime_defaults.yaml,EEI/scripts/validate_model_config.py; EEI/scripts/validate_governance.py,EEI/data/acceptance_traceability.csv:211; EEI/scripts/validate_model_config.py; EEI/scripts/validate_task_pack.py,active
REQ-MOD-001,MOD-001,ASM-001,FORM-001,PARAM-010,TASK-T1206,ACC-A171,EEI/data/parameter_catalog.csv:11; EEI/scripts/validate_governance.py:108-121,EEI/config/model_profiles/balanced-v2.json; EEI/config/model_runtime_defaults.yaml,EEI/scripts/validate_model_config.py; EEI/scripts/validate_governance.py,EEI/data/acceptance_traceability.csv:211; EEI/scripts/validate_model_config.py; EEI/scripts/validate_task_pack.py,active
