requirement_id,model_id,assumption_id,formula_id,parameter_id,task_id,acceptance_id,code_ref,config_ref,test_ref,evidence_ref,status
REQ-ALPHA-STRATEGY-001,MOD-001,ASM-002,FORM-001,PARAM-001,TASK-ALPHA-A-002,ACC-ALPHA-A-002,Alpha/backend/app/services/strategy_iteration.py:28,NOT_APPLICABLE,Alpha/tests/test_strategy_iteration.py:4,Alpha/docs/governance/parameter_registry.csv,active
REQ-ALPHA-STRATEGY-001,MOD-001,ASM-002,FORM-001,PARAM-002,TASK-ALPHA-A-002,ACC-ALPHA-A-002,Alpha/backend/app/services/strategy_iteration.py:43,NOT_APPLICABLE,Alpha/tests/test_strategy_iteration.py:4,Alpha/docs/governance/parameter_registry.csv,active
REQ-ALPHA-STRATEGY-001,MOD-001,ASM-002,FORM-001,PARAM-003,TASK-ALPHA-A-002,ACC-ALPHA-A-002,Alpha/backend/app/services/strategy_iteration.py:43,NOT_APPLICABLE,Alpha/tests/test_strategy_iteration.py:13,Alpha/docs/governance/parameter_registry.csv,active
REQ-ALPHA-STRATEGY-001,MOD-001,ASM-002,FORM-001,PARAM-004,TASK-ALPHA-A-002,ACC-ALPHA-A-002,Alpha/backend/app/services/strategy_iteration.py:43,NOT_APPLICABLE,Alpha/tests/test_strategy_iteration.py:4,Alpha/docs/governance/parameter_registry.csv,active
REQ-ALPHA-STRATEGY-001,MOD-001,ASM-002,FORM-001,PARAM-005,TASK-ALPHA-A-002,ACC-ALPHA-A-002,Alpha/backend/app/services/strategy_iteration.py:34,NOT_APPLICABLE,Alpha/tests/test_strategy_iteration.py:4,Alpha/docs/governance/parameter_registry.csv,active
REQ-ALPHA-STRATEGY-001,MOD-001,ASM-002,FORM-001,PARAM-006,TASK-ALPHA-A-002,ACC-ALPHA-A-002,Alpha/backend/app/services/strategy_iteration.py:59,NOT_APPLICABLE,Alpha/tests/test_strategy_iteration.py:10,Alpha/docs/governance/parameter_registry.csv,active
REQ-ALPHA-STRATEGY-001,MOD-001,ASM-002,FORM-001,PARAM-007,TASK-ALPHA-A-002,ACC-ALPHA-A-002,Alpha/backend/app/services/strategy_iteration.py:40,NOT_APPLICABLE,Alpha/tests/test_strategy_iteration.py:4,Alpha/docs/governance/parameter_registry.csv,active
REQ-ALPHA-STRATEGY-001,MOD-001,ASM-002,FORM-001,PARAM-008,TASK-ALPHA-A-002,ACC-ALPHA-A-002,Alpha/backend/app/services/strategy_iteration.py:88,NOT_APPLICABLE,Alpha/tests/test_strategy_iteration.py:11,Alpha/docs/governance/parameter_registry.csv,active
REQ-ALPHA-RISK-001,MOD-002,ASM-001,FORM-002,PARAM-009,TASK-ALPHA-A-002,ACC-ALPHA-A-002,Alpha/backend/app/services/risk.py:24,NOT_APPLICABLE,Alpha/tests/test_strategy_iteration.py:4,Alpha/docs/governance/parameter_registry.csv,active
REQ-ALPHA-RISK-001,MOD-002,ASM-001,FORM-002,PARAM-010,TASK-ALPHA-A-002,ACC-ALPHA-A-002,Alpha/backend/app/services/risk.py:25,NOT_APPLICABLE,Alpha/tests/test_strategy_iteration.py:4,Alpha/docs/governance/parameter_registry.csv,active
REQ-ALPHA-RISK-001,MOD-002,ASM-001,FORM-002,PARAM-011,TASK-ALPHA-A-002,ACC-ALPHA-A-002,Alpha/backend/app/services/risk.py:26,NOT_APPLICABLE,Alpha/tests/test_strategy_iteration.py:4,Alpha/docs/governance/parameter_registry.csv,active
REQ-ALPHA-RISK-001,MOD-002,ASM-001,FORM-002,PARAM-012,TASK-ALPHA-A-002,ACC-ALPHA-A-002,Alpha/backend/app/services/risk.py:28,NOT_APPLICABLE,Alpha/tests/test_strategy_iteration.py:4,Alpha/docs/governance/parameter_registry.csv,active
