item_id,item_type,workstream,name,spec_status,prototype_status,implementation_status,validation_status,resolved,unresolved,next_action,owner,source_file
FUN-EXP-01,function,探索,商业版图,DONE,DONE,PARTIAL,CI_VALIDATED,视觉优先公司工作台、关系标签、fixture 证据、set-as-center、browser/app back/forward、clickable full breadcrumb、URL/session/reload 状态、时间镜头、bounded explore API、session/url restore、reroot inherited/reset、incremental directional expand、节点操作、固定/比较状态、可筛选表格替代视图、非颜色唯一编码、bounded evidence-bearing path API、包含/截断说明契约、critical three-reroot E2E、可访问等价表、键盘焦点/目标尺寸、UI copy lint、commercial-map /v1/explore API-first production_context hydration、server-returned node/edge rendering、/v1/catalogs inventory hydration、relationship_fact_candidate score explanation hydration、evidence detail/source snippets hydration 和 A211 live backend cross-route E2E 已通过 GitHub Actions 验证,视觉回归、正式发布关系边、多对象评分和长期性能/soak 仍由 T1302/T1307 覆盖,"T1118,T1119,T1302,T1308",Codex implementation,docs/13_RECURSIVE_BUSINESS_EMPIRE_EXPLORER.md
FUN-EXP-02,function,探索,全链供应链,DONE,DONE,PARTIAL,LOCAL_E2E_VALIDATED,NVIDIA synthetic materials/equipment/manufacturing/design/system/data-center/energy/customer chain 已通过本地 E2E,真实数据、完整上下游扩展、A068 reroot 和性能测试尚未完成,"T502,T507,T1105",Codex implementation,docs/17_SUPPLY_CHAIN_RESEARCH_AND_EXPANSION_RULES.md
FUN-EXP-03,function,探索,集团业务与子板块,DONE,PARTIAL,PARTIAL,CI_VALIDATED,"实体 dossier API、人类摘要、30 个 fixture seed 可打开验证、A059/A060 内容合同、T501 八层入口、empire API、结构矩阵和非控制语义已实现","真实数据接入、完整供应链/资本/政策/技术层详情、证据抽屉、时间线和 T502/T503/T506-T508 仍待实现","T502,T503,T506",Codex implementation,docs/31_DOMAIN_OBJECT_SCOPE_CATALOG.md
FUN-EXP-04,function,探索,资金与并购,DONE,PARTIAL,NOT_STARTED,SPEC_VALIDATED,功能边界、输入输出、视觉形式和验收已定义,真实产品代码、数据库和数据接入尚未实现,"T503,T800,T801,T805",Codex implementation,docs/31_DOMAIN_OBJECT_SCOPE_CATALOG.md
FUN-EXP-05,function,探索,所有权与控制,DONE,PARTIAL,PARTIAL,CI_VALIDATED,冲突/替代关系 repository 已保留旧记录、新记录和 change feed 证据,控制树、穿透路径和 UI/E2E 尚未实现,"T500,T503,T506",Codex implementation,docs/04_DATA_MODEL.md
FUN-EXP-06,function,探索,政策与政府,DONE,PARTIAL,NOT_STARTED,SPEC_VALIDATED,功能边界、输入输出、视觉形式和验收已定义,真实产品代码、数据库和数据接入尚未实现,"T503,T802,T805",Codex implementation,docs/05_DATA_SOURCES_AND_PROVENANCE.md
FUN-EXP-07,function,探索,战略信号,DONE,PARTIAL,NOT_STARTED,SPEC_VALIDATED,功能边界、输入输出、视觉形式和验收已定义,真实产品代码、数据库和数据接入尚未实现,"T504,T803,T805",Codex implementation,docs/15_SCORING_MODEL_AND_USER_TUNING.md
FUN-EXP-08,function,探索,行业地图,DONE,PARTIAL,PARTIAL,LOCAL_E2E_VALIDATED,行业列表、行业版图 API、多标签行业 membership、行业版图 UI、跨行业 E2E 和商业版图跨行业 reroot 深测已实现,截图验收和空 Watchlist 行业 overlay 尚未完成,"T202,T302,T305,T1120",Codex implementation,docs/12_RESEARCH_UNIVERSE_SOURCE_METRICS_SCREENING.md
FUN-RM-01,function,研究管理,Watchlist,DONE,DONE,PARTIAL,LOCAL_VALIDATED,Watchlist API anchor、global typed search、home 聚合、首页入口 UI、CRUD restore、四类 item、操作日志、未读变化和 saved-view/profile E2E 已实现,完整 create/remove Watchlist UI 尚未实现,"T300,T301,T303,T304,T306,T1102,T1120",Codex implementation,docs/14_DEFAULT_HOME_AND_INTERACTION_SPEC.md
FUN-RM-02,function,研究管理,重要变化,DONE,PARTIAL,PARTIAL,LOCAL_E2E_VALIDATED,时间线 as-of 切换和重要变化 overlay 已通过本地 E2E 且显式声明非实时,真实 change_events API、snapshot compare、已读状态和数据接入尚未实现,"T705,T804",Codex implementation,docs/25_LIVE_RECALCULATION_REFRESH_ARCHITECTURE.md
FUN-RM-03,function,研究管理,已保存视图,DONE,DONE,PARTIAL,CI_VALIDATED,URL/session 状态、reload 恢复、versioned saved view localStorage 保存/恢复、路径恢复、model preview profile/score snapshot 保存视图上下文、真实 saved_views API、版本历史、乐观锁、恢复、header namespace 隔离、operation_logs actor principal 约束、跨 namespace 404、trusted_gateway HMAC 身份绑定和 live 多会话 E2E 已通过验证,分享链接、导出和跨用户同步发布策略尚未实现,T508,Codex implementation,docs/21_INTERACTION_STATE_AND_NAVIGATION.md
FUN-DM-01,function,数据与模型,数据库与来源,DONE,DONE,PARTIAL,CI_VALIDATED,PostgreSQL migration/seed/fixture/domain API 和 A023 change feed 已通过 CI,完整数据工作台、source health、live ingestion 和 lineage UI 尚未实现,T700-T706,Codex implementation,docs/26_DATABASE_FIRST_DATA_WORKBENCH.md
FUN-DM-02,function,数据与模型,模型与参数,DONE,DONE,PARTIAL,CI_VALIDATED,canonical model/formula/parameter/threshold registry 校验、active model/profile/data/score snapshot 前端一致性、session preview context 跨工作台/行业页传播、全局导航页版本一致性、prototype parity smoke、API-first active-context hydration、transaction activation、dedicated rollback endpoint、rollback control、score recompute enqueue/execution control、data snapshot refresh enqueue/execution control、transactional outbox event、stale refresh mock E2E、inactive supply-chain-v3 profile 和 live backend model activation harness 已通过或纳入验证,部署唤醒和 4h/24h refresh soak 尚未实现,T600-T604,Codex implementation,MODEL_MANAGEMENT.md
FUN-DM-03,function,数据与模型,操作日志,DONE,DONE,PARTIAL,LOCAL_VALIDATED,operation_logs 与 transactional_outbox schema/dispatch 合同已开始，模型激活、重算请求、分数快照激活、数据快照激活、curated ingestion 执行、calibration run 执行和 outbox dispatch 均有后端路径,审计日志 API、前端审计视图、部署级 outbox 唤醒和长期重试观测尚未完成,"T604,T608,T1206,T1303,T1304",Codex implementation,docs/16_OPERATION_LOG_AND_BIWEEKLY_CALIBRATION.md
FUN-DM-04,function,数据与模型,双周校准,DONE,PARTIAL,PARTIAL,LOCAL_VALIDATED,默认 scoring profile seed、手动 calibration queue、14-day cadence、calibration_run 后台任务、coverage/drift metrics、proposal_status=none 和 no-auto-activation 合同已接入,accept/reject proposal API/UI、两轮稳定性对比、失败注入和长期调度观测尚未实现,T605-T608,Codex implementation,docs/16_OPERATION_LOG_AND_BIWEEKLY_CALIBRATION.md
FUN-SYS-01,function,系统治理,功能结构,DONE,DONE,PARTIAL,LOCAL_VALIDATED,模型 registry/配置校验已纳入 Task Pack validation 且跨可见模块 active context 一致性已通过 E2E；requirement-function-task-test traceability matrix 已生成并可复现,系统功能结构页面、架构 API 和完整功能依赖视图尚未实现,T1200,Codex implementation,FUNCTION_CATALOG.md
